customer_name,customer_address,last_contact_date,owned_stocks,change_rate,total_assets,branch_name,branch_address
,,,,,,品川支店,東京都港区港南2-16-1
中村 亮介,東京都港区高輪4-10-30,2021/5/16,野村・トータル・ワールド・ストックETF,9.165805204,90877403,,
太田 明美,東京都港区港南2-16-4,2021/3/4,野村 500インデックスファンド,9.650956785,83111136,,
山口 康弘,東京都港区港南2-16-1,2023/8/22,野村・トータル・ワールド・ストックETF,9.165805204,64090615,,
池田 陽一,東京都品川区北品川4-7-36,2022/1/29,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,558302602,,
藤井 充,東京都港区高輪3-13-1,2020/8/30,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,471654214,,
橋本 香織,東京都品川区東品川４丁目１２−８,2020/10/21,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,59152439,,
吉田 学,東京都港区芝公園２丁目５−２０,2021/4/5,野村・グローバル・アロケーション・ファンド,-1.145094687,59607622,,
藤井 知実,東京都千代田区丸の内１丁目７−１２,2021/10/30,野村・ヘッジファンド戦略投資信託,-11.16338043,344753232,,
坂本 稔,東京都豊島区西池袋１丁目６−１,2020/11/9,野村・ヘッジファンド戦略投資信託,-11.16338043,62545098,,
佐藤 結衣,東京都新宿区西新宿６丁目６−２,2021/7/10,野村・トータル・ワールド・ストックETF,9.165805204,255797952,,
佐藤 直樹,東京都港区白金台1-1-50,2020/4/5,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,60299193,,
坂本 充,東京都港区高輪３丁目１９－１７,2022/4/22,野村・ヘッジファンド戦略投資信託,-11.16338043,77440079,,
藤井 さゆり,東京都港区東新橋1-9-1,2020/9/13,野村・グローバル・アロケーション・ファンド,-1.145094687,749654593,,
藤原 幹,東京都新宿区西新宿2-2-1,2022/10/1,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,73268570,,
中島 真綾,東京都千代田区紀尾井町4-1,2021/12/13,野村 500インデックスファンド,9.650956785,708916080,,
伊藤 千代,東京都千代田区丸の内1-8-3,2022/9/30,野村・グローバル・アロケーション・ファンド,-1.145094687,505693659,,
松田 太一,東京都千代田区丸の内1-9-1,2022/12/31,野村・グローバル・アロケーション・ファンド,-1.145094687,484455283,,
小川 さゆり,東京都港区台場2-6-1,2020/1/24,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,789508992,,
斎藤 舞,東京都千代田区内幸町1-1-1,2022/2/15,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,495255461,,
加藤 七夏,東京都千代田区内幸町1-1-1,2020/7/18,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,69030476,,
井上 裕太,東京都新宿区西新宿6-6-2,2020/2/27,野村・ヘッジファンド戦略投資信託,-11.16338043,58899635,,
鈴木 翼,東京都目黒区三田1-4-1,2022/9/16,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,65535236,,
佐藤 翼,東京都目黒区下目黒1-8-1,2021/10/16,野村・トータル・ワールド・ストックETF,9.165805204,743523429,,
中川 聡太郎,東京都中央区日本橋室町2-1-1,2022/12/23,野村・トータル・ワールド・ストックETF,9.165805204,58807609,,
松本 桃子,東京都豊島区西池袋1-6-1,2023/2/12,野村 500インデックスファンド,9.650956785,585428444,,
佐藤 花子,東京都千代田区丸の内1-7-12,2021/9/5,野村・ヘッジファンド戦略投資信託,-11.16338043,78086700,,
山本 裕美子,東京都新宿区西新宿2-27-2,2020/11/19,野村・ヘッジファンド戦略投資信託,-11.16338043,71163449,,
中島 里佳,東京都千代田区神田須田町2-2-1,2020/5/23,野村 500インデックスファンド,9.650956785,381422684,,
山崎 修平,東京都港区赤坂1-12-33,2022/12/19,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,562665231,,
佐藤 京助,東京都中央区銀座1-8-1,2021/7/19,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,568914127,,
山下 英樹,東京都台東区浅草2-6-7,2021/2/4,野村・ヘッジファンド戦略投資信託,-11.16338043,243042281,,
中村 美加子,東京都台東区上野7-2-5,2021/10/4,ノムラ・グローバルトレンド（アジア通貨コース）年2回決算型,-17.31806358,74246266,,
山本 直子,東京都世田谷区世田谷1-1-1,2020/2/8,野村・トータル・ワールド・ストックETF,9.165805204,782228546,,
小林 涼平,東京都豊島区東池袋2-10-8,2022/5/21,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,299249867,,
前田 舞,東京都千代田区神田神保町2-9,2020/6/7,野村・グローバル・アロケーション・ファンド,-1.145094687,85723296,,
田中 幹,東京都千代田区駿河台2-6-6,2020/11/9,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,236791195,,
伊藤 花子,東京都中央区八丁堀3-12-2,2021/1/18,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,78908904,,
山本 充,東京都中央区新富1-6-5,2020/8/10,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,522959804,,
山口 零,東京都中央区銀座7-2-20,2022/1/26,野村・トータル・ワールド・ストックETF,9.165805204,87959057,,
青木 七夏,東京都中央区銀座7-14-12,2023/3/8,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,80242647,,
福田 直樹,東京都中央区銀座4-2-15,2020/6/15,野村・ワールドワイド・フレキシブル・インカム・ファンド,17.19955284,66262558,,
伊藤 陽子,東京都中央区銀座6-4-14,2023/6/15,野村・グローバル・アロケーション・ファンド,-1.145094687,591622172,,
佐藤 里佳,東京都中央区銀座7-10-4,2023/1/3,ノムラ・グローバルトレンド（アジア通貨コース）毎月分配型,-15.39785358,65548068,,
鈴木 翼,東京都中央区銀座8-8-5,2021/4/18,野村・グローバル・アロケーション・ファンド,-1.145094687,777025449,,
